1576,885
2380,776
2243,417
106,590
2252,930
1326,865
271,513
2395,107
880,1079
2268,941
2214,922
1186,80
1238,359
1882,882
1508,1127
1550,1198
1271,273
2497,678
2404,494
2394,320
2300,904
1312,91
2083,984
2327,1059
2497,728
1490,1250
2314,882
2138,919
2448,983
476,683
2451,759
1487,224
2343,897
62,1327
2260,837
2433,999
2053,297
2480,1045
2390,155
1989,269
1969,966
486,456
1247,662
1444,621
2354,807
2268,992
2429,955
2043,619
1544,289
2221,284
2170,414
2342,751
2496,1202
1015,529
1329,297
1371,621
687,340
2260,918
2488,1254
84,1380
2138,877
2004,462
2124,878
1064,162
1528,1075
2285,516
1846,1053
379,639
